0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
-77490549357.35106,,,,,,,1.6733249425888062,0.0,0,,,,,0.019015253890868333,,0.0
77478331710.45795,,,,,,,1.681369125843048,0.0010969340801236793,305955,,,,,0.01462699001744805,1.2623063002384818,0.0
-71029972453.87505,,,,,,,1.677253377397987,0.0006855614483354255,31380,1.6923401964796745,,,,0.017552355294922384,0.6448053854455308,0.0
-64028235430.13828,,,,,,,1.6643938386794364,-0.002113850992173205,-353025,1.6916819737069075,,,,0.03364204007227589,0.6406883662761618,0.0
-29401989704.11595,,,,,,,1.6480624872933054,-0.006594812819268769,-925710,1.6888626351056102,,,,0.04241813243016823,0.6727963277369272,0.0
-21138235579.557465,,,,,,,1.642467076117518,-0.00861764687838762,-407940,1.682246085235149,,,,0.039492907435385805,0.43364264077026204,0.0
-77425433030.95993,,,,,,,1.6393288088737648,-0.009891898924413889,-94140,1.6760926938556202,,,,0.010236755254398933,0.20788291015453447,0.0
77472451339.77594,,,,,,,1.6410734349720326,-0.009465924497045641,243195,1.6703700398726584,,,,0.017554283142089844,0.19952597466289562,0.0
-77465099719.15201,,,,,,,1.6429985759629375,-0.008805159399697837,706050,1.6650479716685038,,,,0.014626106257313864,0.24578218342430927,0.0
-33161506272.179157,,,,,,22.977490452198147,1.645989155339564,-0.007638054114419202,972780,1.6616234388302509,,,,0.010970414520946825,0.12362034362799526,0.0
-77483143770.68527,,,,,,-12.741260110041589,1.6447009370227383,-0.007950917659590884,706050,1.6616234388302509,,,,0.016089571518631995,0.11414607931028126,0.0
-48437499146.28363,,,,,,-105.32507664716205,1.6384377508277184,-0.010082199422739802,266730,1.6608924278037227,,,,0.02340316444878221,0.17294051929937473,0.0
-77483143747.16826,,,,,,-66.66867065861457,1.6343758234065333,-0.011315343215898777,658980,1.6562337924443937,,,,0.020478253650773937,0.1399228663362337,0.0
56830591467.78416,,,1.6439665366076557,89.17555573950007,-85.88762266628477,-93.44465352548873,1.6314406037409686,-0.012047911504078801,1082610,1.6519012615602178,1.6413023386682783,25.371654898387785,,0.021940383858259027,0.13832926422777034,0.0
-66423141907.16194,,,1.6398570069062302,89.17144620979865,-85.8917321959862,-60.618462985392576,1.6285410563602982,-0.012707767954354354,792345,1.647872007837934,1.6372276374271937,23.435879478873655,,0.02047781359962486,0.08774679525599638,0.0
-55352825319.01207,,,1.6342848784164496,89.16587408130887,-85.89730432447597,-117.72881978347402,1.6231696257241408,-0.01429033459400042,400095,1.6441248018762102,1.6309589828763689,6.248254859976774,18.351929745746073,0.020477815045711,0.11130827102133922,1.0
77485236588.37021,,,1.629060940390106,89.16065014328252,-85.90252826250232,-98.227823216641,1.6204990085737876,-0.014715638317288393,831570,1.640639900331807,1.6265186326844352,21.904532487820934,17.196222275557123,0.016821011786072093,0.11437709187863347,0.0
